"Số giờ nắng các tháng trong năm tại một số trạm quan trắc chia theo Năm, Tỉnh, thành phố và Tháng"
,1,2,3,4,5,6,7,8,9,10,11,12
2019
Lai Châu,"131,5","246,6","190,4","241,5","231,0","127,4","91,1","187,1","185,1","174,4","164,9","219,4"
Sơn La,"103,3","229,3","200,0","261,9","234,6","187,3","147,0","198,6","212,3","203,0","185,1","227,6"
Tuyên Quang,"25,4","88,6","72,0","116,6","105,6","176,5","155,9","202,5","227,0","146,4","116,8","144,5"
Hà Nội,"28,5","78,6","44,6","98,3","95,5","137,8","139,8","137,0","183,7","127,0","126,1","128,1"
Bãi Cháy,"32,0","65,2","31,0","72,0","117,4","150,7","143,4","139,9","192,2","152,0","148,4","122,1"
Nam Định,"29,3","86,8","44,1","106,9","128,5","208,1","176,0","145,3","195,3","142,1","128,4","146,4"
Vinh,"49,1","119,9","81,4","202,6","189,6","270,8","242,6","153,4","172,3","168,8","86,3","107,8"
Huế,"81,0","203,9","157,6","229,8","236,0","293,3","231,4","166,0","147,3","225,8","118,8","99,1"
Đà Nẵng,"103,4","224,0","191,0","238,7","258,0","280,1","228,8","193,7","163,9","212,8","126,7","97,3"
Qui Nhơn,"172,8","255,7","275,1","303,5","301,3","307,7","257,6","243,9","161,6","223,7","123,3","141,0"
Pleiku,"260,5","270,6","258,8","228,9","221,8","185,7","152,3","120,0","124,1","225,5","196,7","280,9"
Đà Lạt,"224,7","239,2","219,1","209,7","192,0","202,0","149,7","142,6","103,8","177,7","177,7","275,8"
Nha Trang,"170,2","241,2","273,4","302,0","278,3","256,1","217,1","261,2","183,2","217,0","149,5","182,2"
Vũng Tàu,"238,5","259,4","298,1","299,7","257,7","200,3","204,9","203,0","174,6","246,3","200,5","231,0"
Cà Mau,"180,3","223,1","257,1","245,3","190,7","110,7","141,1","133,8","130,3","121,7","157,1","172,7"
2018
Lai Châu,"127,5","153,0","176,5","196,8","190,0","84,4","158,4","127,9","118,5","130,3","235,2","146,5"
Sơn La,"129,6","127,1","178,3","200,3","231,5","125,2","155,5","134,6","188,1","190,3","220,0","140,0"
Tuyên Quang,"41,7","45,8","96,8","71,9","217,7","157,1","178,6","146,5","176,0","140,5","138,4","86,5"
Hà Nội,"24,9","24,9","83,2","63,1","208,1","156,0","130,0","124,8","118,6","133,6","115,1","91,9"
Bãi Cháy,"46,3","42,4","97,7","74,2","216,8","160,1","133,8","127,5","160,6","181,6","153,2","86,6"
Nam Định,"26,2","42,9","93,4","81,2","244,5","174,3","129,0","108,8","144,0","146,3","137,3","103,8"
Vinh,"36,3","41,3","102,0","144,7","262,5","196,2","144,3","164,2","205,9","161,2","125,1","81,5"
Huế,"42,3","88,2","156,0","179,0","279,0","191,3","162,8","188,0","232,9","224,1","132,3","77,8"
Đà Nẵng,"56,3","138,3","162,8","220,0","283,0","181,9","169,3","172,2","248,0","206,7","143,8","80,9"
Qui Nhơn,"89,8","183,0","251,9","278,3","285,7","173,5","209,4","185,8","249,4","228,5","180,6","129,3"
Pleiku,"228,5","277,0","253,2","242,8","218,8","107,2","89,2","68,4","163,1","242,1","227,3","192,9"
Đà Lạt,"189,7","236,7","229,4","211,4","189,8","100,9","114,6","89,6","149,0","212,2","179,8","144,9"
Nha Trang,"109,4","208,9","255,0","280,7","272,9","184,7","223,6","215,7","230,8","231,4","169,8","119,4"
Vũng Tàu,"176,2","240,7","281,5","296,1","238,7","196,0","191,3","182,3","205,0","220,5","195,1","170,5"
Cà Mau,"128,1","196,6","245,7","248,3","192,6","123,2","116,4","135,6","134,2","174,0","141,9","127,1"
2017
Lai Châu,"122,0","150,5","184,2","164,5","198,6","110,4","121,4","104,5","132,9","112,5","138,8","158,8"
Sơn La,"102,3","156,2","200,1","187,1","231,1","162,2","157,2","145,6","172,4","132,4","137,6","142,3"
Tuyên Quang,"67,4","73,6","61,3","102,6","196,9","146,2","141,3","147,3","177,3","120,8","115,1","98,5"
Hà Nội,"49,7","72,9","45,6","81,7","147,9","123,9","111,6","107,6","97,9","93,7","75,1","67,6"
Bãi Cháy,"93,9","105,0","25,8","96,9","154,7","147,4","143,9","139,0","156,3","145,7","53,0","82,4"
Nam Định,"49,3","70,2","26,5","94,8","154,7","144,4","107,3","125,9","148,1","89,3","68,6","79,0"
Vinh,"30,6","76,9","51,8","147,3","193,2","214,4","162,6","170,2","203,3","70,6","44,0","43,9"
Huế,"80,5","101,0","145,1","169,8","179,4","262,1","194,5","238,4","225,7","98,1","63,7","34,5"
Đà Nẵng,"102,5","104,1","181,4","202,4","211,7","288,3","188,1","254,5","243,9","133,0","83,2","53,5"
Qui Nhơn,"115,4","141,8","243,6","234,1","255,0","303,6","190,3","264,6","260,0","152,9","97,4","86,8"
Pleiku,"252,3","236,7","262,1","234,0","182,4","175,9","98,9","143,0","169,1","159,7","172,2","199,3"
Đà Lạt,"151,6","206,4","225,5","172,6","161,0","187,1","97,8","154,4","162,7","108,4","127,4","169,3"
Nha Trang,"95,5","154,9","260,0","236,3","230,2","270,1","189,3","259,2","252,8","157,1","129,0","107,7"
Vũng Tàu,"183,4","211,8","286,4","287,5","238,8","200,3","187,4","233,8","225,5","149,1","180,2","198,3"
Cà Mau,"156,1","188,0","238,5","245,1","165,4","147,6","143,7","152,3","140,9","110,2","125,8","133,4"
2016
Lai Châu,"176,1","130,0","181,8","212,3","183,1","144,8","129,4","153,4","133,1","176,1","180,9","195,2"
Sơn La,"148,2","120,2","193,3","258,4","224,0","235,0","185,5","177,7","157,5","193,9","171,8","196,0"
Tuyên Quang,"47,3","103,6","42,4","123,2","163,7","261,3","219,8","173,6","187,8","180,8","117,0","151,5"
Hà Nội,"39,6","91,7","22,7","64,6","143,5","192,8","152,4","129,4","119,4","144,5","104,2","135,0"
Bãi Cháy,"51,6","92,6","24,3","78,8","148,7","215,7","165,8","151,2","152,7","193,4","129,5","120,7"
Nam Định,"34,4","100,0","18,0","49,1","155,4","221,4","177,5","131,6","118,1","146,9","102,9","95,7"
Vinh,"37,9","101,6","34,7","125,2","235,4","251,4","262,3","181,6","111,7","88,8","67,4","38,5"
Huế,"48,9","66,5","121,2","191,6","218,0","249,4","267,7","198,2","163,9","131,5","76,3","21,0"
Đà Nẵng,"118,8","111,2","158,1","207,8","242,0","263,1","288,2","224,5","189,9","170,6","111,4","39,7"
Qui Nhơn,"179,2","148,4","221,8","282,8","265,1","264,5","306,5","239,1","223,5","180,2","144,2","54,2"
Pleiku,"263,2","285,5","276,5","263,0","221,3","178,4","199,2","114,0","125,4","151,9","212,0","136,0"
Đà Lạt,"250,4","248,6","246,2","211,8","165,7","146,9","169,1","146,5","142,4","94,7","183,3","97,6"
Nha Trang,"192,1","167,5","251,0","266,1","248,8","229,3","281,3","257,1","236,3","156,2","167,0","58,5"
Vũng Tàu,"272,8","254,0","296,0","298,0","240,1","197,8","240,3","219,5","212,7","134,7","215,3","109,1"
Cà Mau,"248,8","210,5","278,8","284,2","168,9","144,3","158,5","159,8","109,3","72,5","156,6","112,4"
2015
Lai Châu,"192,5","170,8","197,4","217,5","258,1","142,2","123,0","117,0","122,8","172,4","181,7","128,2"
Sơn La,"181,0","150,1","188,1","222,1","291,1","193,5","165,5","173,1","179,9","221,2","183,1","103,2"
Tuyên Quang,"100,0","74,9","46,8","135,2","240,2","211,3","179,1","191,2","157,0","196,0","106,5","46,2"
Hà Nội,"98,9","43,8","32,4","114,3","204,7","178,0","124,0","157,7","101,0","139,0","83,6","44,6"
Bãi Cháy,"132,2","42,1","16,3","151,0","178,8","206,5","145,1","193,8","143,6","189,0","116,5","55,8"
Nam Định,"114,5","15,7","28,5","130,8","233,7","227,7","136,5","191,8","134,8","147,7","107,3","50,4"
Vinh,"98,5","52,6","52,8","144,5","285,9","278,8","117,3","231,2","175,5","161,9","111,3","40,5"
Huế,"120,1","135,3","167,7","199,1","287,3","270,1","133,9","256,5","225,2","166,2","170,5","105,1"
Đà Nẵng,"151,5","162,4","192,4","232,2","281,7","264,4","143,7","262,2","240,0","192,8","172,9","136,3"
Qui Nhơn,"190,8","209,3","274,0","296,2","306,2","270,7","214,4","307,0","245,1","238,8","156,2","149,0"
Pleiku,"293,8","264,1","284,6","275,3","232,7","188,4","125,4","191,4","174,6","222,6","244,1","259,7"
Đà Lạt,"260,6","240,0","254,5","195,7","174,5","136,9","108,2","161,8","119,2","178,1","199,7","232,7"
Nha Trang,"209,6","227,5","278,4","167,2","225,1","243,5","211,2","283,7","232,3","216,6","161,6","181,3"
Vũng Tàu,"217,5","255,2","300,2","295,3","282,5","204,3","205,4","260,5","218,7","228,0","245,4","224,8"
Cà Mau,"192,0","237,0","268,8","267,5","219,3","134,5","167,2","186,5","154,4","160,3","185,2","200,7"
2014
Lai Châu,"191,8","195,1","197,9","219,7","211,5","106,3","144,0","119,2","150,2","145,7","142,4","127,2"
Sơn La,"188,4","183,1","183,2","208,8","242,2","134,7","179,2","158,4","195,2","205,1","149,4","127,4"
Tuyên Quang,"127,8","42,2","20,4","38,1","202,2","133,7","191,4","180,5","178,5","165,0","86,7","91,8"
Hà Nội,"119,2","31,9","14,9","13,5","181,5","120,3","133,0","107,6","137,7","134,6","86,3","87,5"
Bãi Cháy,"147,2","28,7","12,8","25,7","165,9","160,5","147,8","132,7","190,8","174,6","115,9","93,8"
Nam Định,"116,6","28,6","13,6","11,5","191,0","152,0","135,4","112,3","187,1","137,3","89,1","83,5"
Vinh,"125,2","12,5","41,5","79,5","248,9","188,5","222,9","162,8","182,4","103,5","93,5","41,2"
Huế,"108,2","135,0","109,1","195,2","274,7","222,2","232,5","207,4","216,0","147,3","148,4","29,1"
Đà Nẵng,"104,3","170,3","181,1","228,6","280,2","224,0","231,1","220,7","225,2","166,0","148,9","28,2"
Qui Nhơn,"179,9","203,3","269,2","282,7","319,9","219,9","233,4","259,6","242,4","189,0","189,2","49,6"
Pleiku,"277,9","271,9","291,0","227,6","257,7","133,2","105,8","166,2","160,9","221,7","242,0","192,8"
Đà Lạt,"237,6","251,1","255,8","149,3","185,3","131,9","85,3","167,6","127,8","170,8","201,9","153,5"
Nha Trang,"168,2","249,1","273,9","284,3","307,6","222,9","230,1","277,7","242,6","208,3","173,7","67,4"
Vũng Tàu,"207,2","257,1","296,7","272,7","264,1","175,7","190,7","215,6","209,1","205,6","238,2","161,1"
Cà Mau,"175,0","239,4","283,0","244,1","196,0","109,8","128,9","190,9","156,3","145,9","172,2","154,3"
2013
Lai Châu,"117,8","191,8","237,4","184,4","205,0","143,4","102,9","163,4","162,2","148,7","162,5","145,3"
Sơn La,"93,9","155,2","229,2","192,7","225,0","184,5","137,8","182,6","153,9","163,1","129,1","179,5"
Tuyên Quang,"8,2","60,2","123,0","102,9","191,9","193,6","173,5","181,7","140,9","161,8","77,1","156,7"
Hà Nội,"12,2","38,9","75,4","69,0","158,0","161,7","119,9","140,9","89,4","134,9","68,8","158,7"
Bãi Cháy,"27,3","30,0","65,4","63,7","123,2","163,9","95,2","151,4","112,5","159,6","85,1","201,4"
Nam Định,"13,4","42,0","45,7","71,8","175,7","167,8","131,7","153,8","90,3","123,9","49,0","154,5"
Vinh,"21,0","44,0","106,9","103,9","228,4","224,3","191,4","175,8","66,0","97,6","40,0","73,6"
Huế,"89,4","143,4","159,1","159,6","261,0","225,7","207,0","181,5","129,2","115,5","77,0","17,5"
Đà Nẵng,"126,1","156,5","173,0","172,0","288,3","237,4","214,5","164,0","145,3","136,5","110,8","51,1"
Qui Nhơn,"158,4","193,5","269,6","242,9","307,2","211,7","232,5","157,7","173,8","142,6","134,2","116,8"
Pleiku,"270,3","257,9","254,3","214,1","236,5","155,2","125,7","88,7","95,4","167,4","193,7","251,0"
Đà Lạt,"224,8","235,1","215,7","177,1","194,2","132,2","124,8","104,9","83,5","162,2","156,6","208,8"
Nha Trang,"183,7","200,4","276,4","245,7","288,4","208,7","232,3","223,3","183,8","189,9","138,1","127,3"
Vũng Tàu,"201,7","232,7","288,4","203,5","227,7","157,8","157,1","198,7","141,1","190,8","181,0","147,8"
Cà Mau,"150,5","181,1","273,1","199,3","179,8","131,1","142,7","174,0","116,1","158,6","164,8","115,9"
2012
Lai Châu,"115,6","174,7","153,0","250,4","182,4","83,0","100,3","167,1","115,4","182,8","151,7","170,1"
Sơn La,"90,2","145,3","159,9","248,7","213,3","127,0","171,0","215,8","159,3","211,4","159,9","166,5"
Tuyên Quang,"15,3","16,0","57,4","166,2","194,9","121,2","173,5","224,1","145,1","138,3","82,9","37,6"
Hà Nội,"4,8","18,5","24,3","94,9","0,0","107,7","145,4","160,3","112,0","99,9","99,7","42,2"
Bãi Cháy,"11,5","16,0","12,7","77,4","162,2","110,4","152,9","168,2","157,0","143,8","85,5","49,4"
Nam Định,"3,4","10,7","12,5","104,7","173,4","117,5","175,8","158,9","131,2","112,6","110,0","42,7"
Vinh,"0,1","26,9","61,2","168,1","198,2","145,0","228,9","197,9","143,0","135,1","98,6","57,6"
Huế,"31,0","62,7","111,3","180,1","240,7","194,4","236,3","231,2","144,8","177,8","146,7","108,9"
Đà Nẵng,"63,9","127,0","177,7","209,9","258,2","183,5","242,0","219,4","168,5","162,5","156,2","132,5"
Qui Nhơn,"119,9","183,7","222,1","275,2","299,9","220,7","240,9","248,1","196,2","185,9","199,2","175,7"
Pleiku,"235,8","257,9","235,4","233,0","207,8","137,1","151,8","130,7","139,0","205,3","254,7","281,3"
Đà Lạt,"156,0","193,5","206,2","200,5","187,2","151,1","141,5","149,7","97,6","194,6","203,1","230,4"
Nha Trang,"114,9","216,2","228,1","280,4","293,8","236,3","249,3","271,9","183,5","213,4","222,8","177,5"
Vũng Tàu,"205,8","249,5","256,6","265,5","249,7","197,0","199,7","243,4","138,1","216,7","213,9","225,6"
Cà Mau,"135,7","213,2","224,4","227,2","185,4","139,9","145,9","189,3","96,7","165,5","160,0","188,7"
2011
Lai Châu,"47,7","177,6","99,5","156,9","174,0","107,2","166,8","179,1","154,0","140,3","164,9","96,4"
Sơn La,"31,1","148,9","80,5","143,3","188,2","136,7","190,5","196,4","171,7","163,6","191,3","140,6"
Tuyên Quang,"1,3","35,6","28,0","70,8","171,3","158,4","196,8","214,2","144,0","109,2","155,7","104,3"
Hà Nội,"4,0","37,9","15,0","57,0","138,5","127,2","151,4","151,0","102,7","76,8","106,5","95,6"
Bãi Cháy,"13,3","55,8","22,7","86,6","156,8","168,4","196,6","177,5","146,0","122,8","173,5","110,8"
Nam Định,"7,4","39,0","15,8","64,3","160,6","168,8","191,2","180,0","112,7","65,7","91,2","67,9"
Vinh,"0,7","37,7","25,1","102,4","192,2","222,1","200,7","186,7","98,0","41,4","70,4","10,8"
Huế,"14,0","101,6","73,4","149,9","218,9","217,9","216,9","204,7","105,7","84,9","101,0","8,6"
Đà Nẵng,"39,8","161,9","113,0","174,8","258,7","222,9","232,8","231,1","105,5","107,7","115,3","18,1"
Qui Nhơn,"58,0","202,1","108,1","252,6","280,4","249,4","261,5","272,3","164,8","147,4","143,2","38,9"
Pleiku,"231,4","260,8","201,6","251,8","203,4","108,9","138,7","151,1","73,2","144,1","219,1","230,8"
Đà Lạt,"162,5","218,3","142,4","188,3","179,5","128,8","144,6","178,2","96,3","150,7","184,9","138,3"
Nha Trang,"80,4","214,7","112,9","257,9","285,9","269,1","275,1","293,2","192,6","193,0","154,3","45,2"
Vũng Tàu,"158,2","244,7","202,8","249,9","222,4","193,7","203,0","238,3","151,0","221,5","200,1","149,7"
Cà Mau,"137,3","186,1","192,2","228,5","172,3","118,1","158,5","177,4","105,2","176,8","144,2","96,3"
2010
Lai Châu,"151,1","208,9","151,4","192,4","234,5","126,8","127,1","173,9","153,3","139,8","151,6","103,0"
Sơn La,"159,1","213,6","179,3","194,1","228,1","164,0","177,1","159,3","183,1","164,6","193,7","147,2"
Tuyên Quang,"89,1","77,1","57,5","102,7","156,9","190,4","157,3","226,2","188,0","134,8","129,3","68,7"
Hà Nội,"34,2","94,2","53,0","51,1","124,8","158,5","180,5","121,3","146,1","108,6","104,6","79,1"
Bãi Cháy,"39,2","57,0","34,9","34,7","91,4","147,1","218,4","118,4","162,8","151,8","135,2","94,7"
Nam Định,"33,6","86,1","46,7","58,6","150,3","165,5","221,9","125,2","141,7","124,8","78,4","72,2"
Vinh,"33,0","82,0","95,0","88,0","220,0","206,0","225,0","148,0","156,0","96,0","49,0","86,0"
Huế,"85,2","147,1","169,7","145,0","252,1","265,0","253,3","192,2","197,6","90,4","54,4","121,8"
Đà Nẵng,"39,1","87,4","107,4","104,4","207,9","212,2","237,6","108,8","145,3","69,3","29,7","84,9"
Qui Nhơn,"186,3","239,8","247,7","268,6","306,9","272,7","262,1","260,6","210,3","115,5","23,0","135,1"
Pleiku,"275,1","240,8","262,7","210,1","192,2","170,0","109,9","151,5","91,3","157,6","214,4","248,0"
Đà Lạt,"216,5","194,6","228,7","167,0","154,5","172,3","127,3","143,8","73,4","142,3","172,5","236,2"
Nha Trang,"212,6","256,9","235,1","280,4","304,3","289,1","227,9","218,2","229,4","95,2","76,5","101,7"
Vũng Tàu,"203,2","208,8","303,2","231,1","171,5","213,2","195,6","235,7","158,5","217,0","185,5","252,6"
Cà Mau,"170,2","170,0","245,7","183,2","147,4","184,8","113,8","160,2","80,8","160,9","130,2","167,1"
2009
Lai Châu,"132,3","204,9","176,6","193,8","201,6","111,9","135,1","214,0","188,8","193,6","175,2","122,1"
Sơn La,"161,4","210,9","169,4","200,0","208,5","138,3","144,9","215,9","207,5","187,5","190,0","173,8"
Tuyên Quang,"89,1","77,1","57,5","102,7","156,9","190,4","157,3","226,2","188,0","134,8","129,3","68,7"
Hà Nội,"104,7","74,9","50,1","85,6","142,8","166,6","142,9","171,7","132,3","125,0","138,3","78,1"
Bãi Cháy,"141,7","90,9","34,6","86,5","141,5","181,0","173,0","182,4","167,8","154,7","164,4","83,7"
Nam Định,"101,3","73,5","44,9","73,7","155,1","189,1","174,1","183,4","136,9","123,5","137,4","61,4"
Vinh,"74,6","99,3","70,1","110,3","162,3","203,9","197,5","181,1","136,2","113,6","108,0","66,9"
Huế,"66,5","166,4","131,4","127,5","213,9","252,9","213,5","211,0","140,0","117,6","105,0","114,5"
Đà Nẵng,"116,8","178,0","187,4","163,2","226,1","256,4","211,9","235,1","135,4","136,2","116,0","150,3"
Qui Nhơn,"154,4","201,5","245,7","223,4","227,2","239,0","223,2","262,6","165,0","184,1","125,0","174,9"
Pleiku,"275,1","240,8","262,7","210,1","198,2","170,0","109,9","151,5","91,3","157,6","214,4","248,0"
Đà Lạt,"216,5","194,6","228,7","167,0","154,5","172,3","127,3","143,8","73,4","142,3","172,5","236,2"
Nha Trang,"176,3","209,2","252,4","193,2","190,5","262,6","239,1","282,5","166,2","200,4","130,8","189,9"
Vũng Tàu,"203,2","208,8","303,2","231,1","171,5","213,2","195,6","235,7","158,5","217,0","185,5","252,6"
Cà Mau,"170,2","170,0","245,7","183,2","147,4","184,8","113,8","160,2","80,8","160,9","130,2","167,1"
2008
Lai Châu,"139,0","47,0","135,0","186,0","204,0","80,0","100,0","125,0","184,0","148,0","158,0","139,0"
Sơn La,"167,0","35,0","170,0","178,0","210,0","108,0","112,0","157,0","204,0","137,0","201,0","152,0"
Tuyên Quang,"65,0","27,0","69,0","71,0","156,0","126,0","155,0","147,0","178,0","126,0","139,0","99,0"
Hà Nội,"63,0","26,0","68,0","73,0","143,0","116,0","144,0","124,0","123,0","92,0","148,0","114,0"
Bãi Cháy,"69,0","29,0","79,0","82,0","173,0","100,0","108,0","134,0","122,0","124,0","163,0","155,0"
Nam Định,"70,0","30,0","65,0","74,0","164,0","106,0","147,0","133,0","119,0","90,0","124,0","93,0"
Vinh,"57,0","25,0","94,0","123,0","188,0","155,0","177,0","210,0","110,0","46,0","79,0","50,0"
Huế,"68,0","1,0","122,0","169,0","193,0","211,0","265,0","189,0","145,0","74,0","66,0","43,0"
Đà Nẵng,"110,0","24,0","158,0","241,0","227,0","227,0","277,0","202,0","165,0","112,0","68,0","49,0"
Qui Nhơn,"148,0","90,0","193,0","280,0","272,0","278,0","283,0","235,0","186,0","165,0","64,0","95,0"
Pleiku,"249,0","241,0","252,0","252,0","176,0","199,0","185,0","153,0","123,0","161,0","157,0","201,0"
Đà Lạt,"184,0","192,0","193,0","204,0","143,0","191,0","165,0","151,0","90,0","146,0","91,0","170,0"
Nha Trang,"157,0","143,0","235,0","271,0","266,0","285,0","263,0","239,0","162,0","206,0","79,0","101,0"
Vũng Tàu,"209,0","211,0","286,0","249,0","203,0","223,0","240,0","196,0","152,0","208,0","164,0","168,0"
Cà Mau,"157,0","169,0","253,0","216,0","166,0","127,0","173,0","173,0","110,0","142,0","132,0","121,0"
2007
Lai Châu,"130,0","189,0","202,0","134,0","133,0","117,0","63,0","126,0","113,0","121,0","131,0","141,0"
Sơn La,"141,0","220,0","196,0","152,0","198,0","181,0","124,0","170,0","170,0","172,0","201,0","158,0"
Tuyên Quang,"60,0","84,0","31,0","82,0","165,0","203,0","172,0","169,0","151,0","122,0","184,0","49,0"
Hà Nội,"69,0","75,0","25,0","88,0","146,0","218,0","209,0","157,0","129,0","107,0","181,0","58,0"
Bãi Cháy,"71,0","63,0","9,0","78,0","159,0","185,0","222,0","136,0","119,0","141,0","190,0","36,0"
Nam Định,"63,0","54,0","12,0","89,0","150,0","226,0","258,0","117,0","126,0","97,0","164,0","39,0"
Vinh,"44,0","98,0","72,0","127,0","198,0","256,0","292,0","155,0","136,0","42,0","112,0","32,0"
Huế,"33,0","185,0","136,0","115,0","173,0","261,0","275,0","148,0","154,0","48,0","38,0","93,0"
Đà Nẵng,"46,0","182,0","174,0","181,0","231,0","277,0","290,0","170,0","200,0","76,0","49,0","126,0"
Qui Nhơn,"95,0","224,0","243,0","240,0","260,0","276,0","278,0","209,0","211,0","139,0","85,0","151,0"
Pleiku,"245,0","268,0","214,0","234,0","207,0","185,0","145,0","95,0","130,0","140,0","131,0","254,0"
Đà Lạt,"170,0","251,0","204,0","205,0","199,0","150,0","129,0","104,0","116,0","95,0","114,0","213,0"
Nha Trang,"123,0","240,0","255,0","274,0","260,0","255,0","245,0","217,0","208,0","146,0","126,0","153,0"
Vũng Tàu,"182,0","267,0","271,0","265,0","199,0","169,0","165,0","134,0","158,0","188,0","161,0","190,0"
Cà Mau,"149,0","250,0","241,0","242,0","164,0","163,0","126,0","121,0","109,0","124,0","133,0","143,0"
2006
Lai Châu,"158,0","157,0","153,0","185,0","165,0","137,0","125,0","174,0","159,0","172,0","160,0","139,0"
Sơn La,"174,0","112,0","136,0","192,0","187,0","171,0","128,0","163,0","197,0","183,0","259,0","161,0"
Tuyên Quang,"70,0","20,0","19,0","109,0","174,0","177,0","171,0","127,0","183,0","137,0","140,0","94,0"
Hà Nội,"74,0","32,0","26,0","102,0","159,0","170,0","145,0","97,0","170,0","125,0","152,0","111,0"
Bãi Cháy,"72,0","47,0","19,0","94,0","154,0","158,0","156,0","113,0","188,0","174,0","159,0","123,0"
Nam Định,"65,0","20,0","20,0","108,0","186,0","188,0","160,0","118,0","175,0","146,0","149,0","83,0"
Vinh,"66,0","29,0","40,0","183,0","222,0","229,0","185,0","120,0","164,0","126,0","149,0","45,0"
Huế,"89,0","81,0","108,0","186,0","239,0","279,0","183,0","173,0","151,0","183,0","182,0","45,0"
Đà Nẵng,"94,0","115,0","164,0","240,0","261,0","290,0","199,0","178,0","172,0","193,0","209,0","78,0"
Qui Nhơn,"91,0","161,0","232,0","265,0","269,0","270,0","178,0","201,0","193,0","194,0","213,0","134,0"
Pleiku,"201,0","253,0","258,0","240,0","223,0","211,0","88,0","95,0","160,0","229,0","257,0","240,0"
Đà Lạt,"213,0","219,0","236,0","205,0","197,0","161,0","106,0","121,0","135,0","150,0","241,0","229,0"
Nha Trang,"137,0","190,0","266,0","286,0","282,0","261,0","219,0","228,0","207,0","223,0","247,0","166,0"
Vũng Tàu,"198,0","247,0","266,0","284,0","247,0","200,0","169,0","181,0","183,0","190,0","246,0","202,0"
Cà Mau,"181,0","227,0","241,0","226,0","178,0","159,0","124,0","150,0","139,0","157,0","217,0","176,0"

